mpirun --map-by core --mca pml ucx -np 2 ./IMB-MPI1 PingPong -msglog 29 
tnode009
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.20,0.00
1,1000,0.21,4.87
2,1000,0.20,9.98
4,1000,0.19,21.27
8,1000,0.19,42.23
16,1000,0.19,83.55
32,1000,0.23,140.91
64,1000,0.23,278.37
128,1000,0.32,404.30
256,1000,0.34,749.54
512,1000,0.39,1310.92
1024,1000,0.50,2045.14
2048,1000,0.75,2731.70
4096,1000,1.13,3638.13
8192,1000,1.88,4352.78
16384,1000,2.97,5521.56
32768,1000,4.81,6816.06
65536,640,8.33,7865.64
131072,320,15.15,8650.08
262144,160,13.79,19016.12
524288,80,24.71,21219.79
1048576,40,53.48,19607.59
2097152,20,144.39,14524.35
4194304,10,315.58,13290.57
8388608,5,899.77,9323.02
16777216,2,2380.69,7047.21
33554432,1,5345.27,6277.41
67108864,1,11410.62,5881.26
134217728,1,21643.33,6201.34
268435456,1,45261.89,5930.72
536870912,1,85577.82,6273.48
