mpirun --map-by socket --mca pml ob1 --mca btl self,vader -np 2 ./IMB-MPI1 PingPong -msglog 29
tnode009
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.54,0.00
1,1000,0.57,1.74
2,1000,0.57,3.51
4,1000,0.58,6.94
8,1000,0.58,13.90
16,1000,0.64,25.00
32,1000,0.73,43.94
64,1000,0.84,76.17
128,1000,0.95,134.89
256,1000,1.18,216.33
512,1000,0.99,515.22
1024,1000,1.48,694.02
2048,1000,1.66,1231.78
4096,1000,2.64,1551.82
8192,1000,3.28,2499.31
16384,1000,3.63,4511.43
32768,1000,4.87,6723.50
65536,640,6.12,10714.03
131072,320,11.15,11752.20
262144,160,20.16,13003.24
524288,80,38.26,13702.58
1048576,40,87.48,11985.80
2097152,20,211.61,9910.57
4194304,10,463.54,9048.48
8388608,5,1070.86,7833.56
16777216,2,3876.38,4328.06
33554432,1,10458.15,3208.45
67108864,1,19746.57,3398.51
134217728,1,38981.34,3443.13
268435456,1,81223.87,3304.88
536870912,1,158828.47,3380.19
