mpirun --map-by socket --mca pml ucx -np 2 ./IMB-MPI1 PingPong -msglog 29 
tnode009
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.40,0.00
1,1000,0.41,2.43
2,1000,0.40,5.02
4,1000,0.40,10.11
8,1000,0.40,20.13
16,1000,0.40,40.27
32,1000,0.56,57.57
64,1000,0.56,114.09
128,1000,0.88,145.06
256,1000,0.95,268.40
512,1000,1.14,448.58
1024,1000,1.32,776.40
2048,1000,2.10,973.96
4096,1000,3.00,1366.95
8192,1000,4.81,1703.12
16384,1000,7.53,2174.51
32768,1000,13.04,2513.82
65536,640,24.65,2658.75
131072,320,45.46,2883.12
262144,160,13.16,19915.78
524288,80,22.84,22950.29
1048576,40,50.50,20765.84
2097152,20,138.71,15118.59
4194304,10,305.76,13717.69
8388608,5,630.52,13304.24
16777216,2,2121.84,7906.93
33554432,1,5991.10,5600.71
67108864,1,12641.05,5308.80
134217728,1,25212.26,5323.51
268435456,1,49755.53,5395.09
536870912,1,98386.79,5456.74
