mpiexec -n 2 -ppn 1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER tcp ./IMB-MPI1 PingPong -msglog 29
tnode009, tnode010
#lambda[usec] (computed) -> -3.54, bandwidth[Mbytes/sec] (computed) -> 2661.93
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] (computed),Mbytes/sec (computed)
0,1000,9.51,0.0,-3.54,-0.0
1,1000,9.48,0.1,-3.54,-0.28
2,1000,9.35,0.22,-3.54,-0.57
4,1000,9.37,0.43,-3.54,-1.13
8,1000,9.1,0.89,-3.54,-2.26
16,1000,9.1,1.77,-3.53,-4.53
32,1000,9.06,3.55,-3.53,-9.07
64,1000,8.82,7.3,-3.52,-18.21
128,1000,8.88,14.48,-3.49,-36.66
256,1000,8.94,28.79,-3.44,-74.35
512,1000,11.56,44.47,-3.35,-152.98
1024,1000,12.0,85.74,-3.15,-324.62
2048,1000,13.55,151.26,-2.77,-739.41
4096,1000,14.74,277.98,-2.0,-2047.58
8192,1000,17.17,477.55,-0.46,-17745.1
16384,1000,27.54,595.43,2.62,6263.3
32768,1000,39.57,828.81,8.77,3735.99
65536,640,68.3,960.44,21.08,3108.77
131072,320,127.97,1025.07,45.7,2868.02
262144,160,164.67,1620.84,94.94,2761.11
524288,80,250.63,2126.58,193.42,2710.59
1048576,40,425.4,2510.24,390.38,2686.02
2097152,20,773.97,2761.8,784.31,2673.89
4194304,10,1517.92,2797.23,1572.15,2667.88
8388608,5,3057.05,2787.3,3147.84,2664.88
16777216,2,6335.52,2686.5,6299.22,2663.38
33554432,1,12717.94,2675.8,12601.98,2662.63
67108864,1,25344.68,2680.98,25207.51,2662.26
134217728,1,50322.89,2701.28,50418.55,2662.07
268435456,1,99654.19,2725.99,100840.65,2661.98
536870912,1,202278.15,2687.89,201684.84,2661.93
