mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER tcp ./IMB-MPI1 PingPong -msglog 29
tnode009
#lambda[usec] (computed) -> 12.04, bandwidth[Mbytes/sec] (computed) -> 3281.0
   #bytes    #repetitions    t[usec]    Mbytes/sec    t[usec] (computed)    Mbytes/sec (computed)
---------  --------------  ---------  ------------  --------------------  -----------------------
        0            1000       7.97             0                 12.04                        0
        1            1000       7.95          0.13                 12.04                     0.08
        2            1000       7.97          0.25                 12.04                     0.17
        4            1000       7.96           0.5                 12.04                     0.33
        8            1000       7.95          1.01                 12.05                     0.66
       16            1000       7.94          2.02                 12.05                     1.33
       32            1000       7.96          4.02                 12.05                     2.65
       64            1000       8.23          7.78                 12.06                     5.31
      128            1000       8.24         15.53                 12.08                    10.59
      256            1000       8.26         30.98                 12.12                    21.12
      512            1000      10.08         50.84                  12.2                    41.97
     1024            1000      10.26         99.78                 12.36                    82.88
     2048            1000      10.71        191.25                 12.67                   161.67
     4096            1000      11.88        344.86                 13.29                   308.16
     8192            1000       13.1        625.38                 14.54                   563.41
    16384            1000      22.81        718.53                 17.04                    961.7
    32768            1000      34.55        949.05                 22.03                  1487.44
    65536             640      55.38       1183.44                 32.02                  2046.96
   131072             320     102.61       1277.41                 51.99                  2521.14
   262144             160     113.13        2317.4                 91.93                  2851.41
   524288              80     174.17       3010.31                171.83                  3051.26
  1048576              40     307.26       3412.72                331.61                  3162.08
  2097152              20     614.84       3411.84                651.18                  3220.56
  4194304              10    1223.91       3427.23               1290.31                  3250.62
  8388608               5    2453.34       3419.28               2568.58                  3265.86
 16777216               2    5053.23       3320.19               5125.11                  3273.53
 33554432               1    10337.8       3245.81               10238.2                  3277.38
 67108864               1    20455.3       3280.81               20464.3                  3279.31
134217728               1    41075.4       3267.63               40916.6                  3280.28
268435456               1    81897.5       3277.88               81821.1                  3280.76
536870912               1     163552       3282.63                163630                     3281
