mpirun --map-by core --mca pml ob1 --mca btl self,vader -np 2 ./IMB-MPI1 PingPong -msglog 29
tnode009
#lambda[usec] (computed) -> 12.44, bandwidth[Mbytes/sec] (computed) -> 4134.19
   #bytes    #repetitions    t[usec]    Mbytes/sec    t[usec] (computed)    Mbytes/sec (computed)
---------  --------------  ---------  ------------  --------------------  -----------------------
        0            1000       0.26             0                 12.44                        0
        1            1000       0.29          3.48                 12.44                     0.08
        2            1000       0.28          7.03                 12.44                     0.16
        4            1000       0.29         14.09                 12.44                     0.32
        8            1000       0.28         28.23                 12.44                     0.64
       16            1000       0.31         52.25                 12.44                     1.29
       32            1000       0.31        103.96                 12.45                     2.57
       64            1000       0.35        184.55                 12.45                     5.14
      128            1000        0.4        321.85                 12.47                    10.26
      256            1000       0.48        537.52                  12.5                    20.48
      512            1000       0.63        814.66                 12.56                    40.75
     1024            1000       0.74          1381                 12.69                    80.71
     2048            1000       0.87       2360.33                 12.93                   158.34
     4096            1000       1.82       2251.59                 13.43                   304.99
     8192            1000        2.1       3900.08                 14.42                   568.08
    16384            1000       2.75       5960.02                  16.4                   998.91
    32768            1000       3.81       8616.82                 20.36                  1609.07
    65536             640       5.71         11499                 28.29                  2316.59
   131072             320        9.9       13311.6                 44.14                  2969.42
   262144             160      19.17       13672.7                 75.84                  3456.45
   524288              80      39.52       13268.1                139.24                  3765.23
  1048576              40      91.84       11417.8                266.05                  3941.28
  2097152              20     221.93        9450.9                519.66                  4035.62
  4194304              10     551.64       7627.18               1026.88                   4084.5
  8388608               5    1609.65       5211.47               2041.32                  4109.39
 16777216               2    3928.93        4270.2               4070.21                  4121.95
 33554432               1    8369.56       4009.12               8127.98                  4128.26
 67108864               1    16926.9       3966.29               16243.5                  4131.42
134217728               1    33722.7        3982.2               32474.6                  4133.01
268435456               1      65272       4112.56               64936.8                   4133.8
536870912               1     129297       4153.57                129861                  4134.19
