mpirun --map-by node --mca pml ucx -np 2 ./IMB-MPI1 PingPong -msglog 29 
tnode009, tnode010
#lambda[usec] (computed) -> -4.24, bandwidth[Mbytes/sec] (computed) -> 12087.84
   #bytes    #repetitions    t[usec]    Mbytes/sec    t[usec] (computed)    Mbytes/sec (computed)
---------  --------------  ---------  ------------  --------------------  -----------------------
        0            1000       0.99             0                 -4.24                       -0
        1            1000       0.98          1.02                 -4.24                    -0.24
        2            1000       0.99          2.02                 -4.24                    -0.47
        4            1000       0.99          4.05                 -4.24                    -0.94
        8            1000       0.98          8.13                 -4.24                    -1.89
       16            1000       0.99         16.21                 -4.24                    -3.77
       32            1000          1         32.03                 -4.24                    -7.55
       64            1000       1.16         55.21                 -4.24                    -15.1
      128            1000        1.2        106.69                 -4.23                   -30.24
      256            1000       1.42        180.09                 -4.22                   -60.63
      512            1000        1.5        341.54                  -4.2                  -121.87
     1024            1000       1.65         619.6                 -4.16                  -246.22
     2048            1000       2.32        882.77                 -4.07                  -502.69
     4096            1000        3.2       1278.97                  -3.9                    -1049
     8192            1000       4.51       1816.11                 -3.57                 -2297.39
    16384            1000        6.4       2559.79                 -2.89                  -5673.1
    32768            1000       8.55       3830.85                 -1.53                 -21382.5
    65536             640      12.44       5265.95                  1.18                  55604.4
   131072             320      18.74       6995.36                   6.6                  19857.1
   262144             160      32.68       8021.38                 17.45                  15026.8
   524288              80      54.62       9600.51                 39.13                  13397.3
  1048576              40      97.71       10731.9                 82.51                  12708.3
  2097152              20      182.2       11510.4                169.27                  12389.7
  4194304              10      352.9       11885.2                342.78                  12236.3
  8388608               5     693.23       12100.8                689.79                    12161
 16777216               2    1380.46       12153.4               1383.83                  12123.8
 33554432               1    2758.12       12165.7                2771.9                  12105.2
 67108864               1    5498.82       12204.2               5548.05                  12095.9
134217728               1    11012.4       12187.9               11100.4                  12091.3
268435456               1    22053.2       12172.2               22204.9                    12089
536870912               1    44518.9       12059.4               44414.1                  12087.8
